Subject, Start Date, End Date, All Day Event, Start Time, End Time, Location
Chinese, 6/12/2017, 6/12/2017, False, 11:35 AM, 12:50 PM, 422
Chinese, 9/1/2018, 9/1/2018, False, 11:35 AM, 12:50 PM, 422
Chinese, 25/1/2018, 25/1/2018, False, 11:35 AM, 12:50 PM, 422
Chinese, 12/2/2018, 12/2/2018, False, 11:35 AM, 12:50 PM, 422
Chinese, 15/3/2018, 15/3/2018, False, 11:35 AM, 12:50 PM, 422
Chinese, 10/4/2018, 10/4/2018, False, 11:35 AM, 12:50 PM, 422
Chinese, 26/4/2018, 26/4/2018, False, 11:35 AM, 12:50 PM, 422
Chinese, 31/5/2018, 31/5/2018, False, 11:35 AM, 12:50 PM, 422
Science, 23/8/2017, 23/8/2017, False, 07:55 AM, 09:15 AM, 505
Science, 8/9/2017, 8/9/2017, False, 07:55 AM, 09:15 AM, 505
Science, 31/10/2017, 31/10/2017, False, 07:55 AM, 09:15 AM, 505
Science, 20/11/2017, 20/11/2017, False, 07:55 AM, 09:15 AM, 505
Science, 7/12/2017, 7/12/2017, False, 07:55 AM, 09:15 AM, 505
Science, 10/1/2018, 10/1/2018, False, 07:55 AM, 09:15 AM, 505
Science, 26/1/2018, 26/1/2018, False, 07:55 AM, 09:15 AM, 505
Science, 13/2/2018, 13/2/2018, False, 07:55 AM, 09:15 AM, 505
Science, 16/3/2018, 16/3/2018, False, 07:55 AM, 09:15 AM, 505
Science, 11/4/2018, 11/4/2018, False, 07:55 AM, 09:15 AM, 505
Science, 27/4/2018, 27/4/2018, False, 07:55 AM, 09:15 AM, 505
Science, 1/6/2018, 1/6/2018, False, 07:55 AM, 09:15 AM, 505
Digital Design, 23/8/2017, 23/8/2017, False, 09:20 AM, 10:35 AM, 513
Digital Design, 8/9/2017, 8/9/2017, False, 09:20 AM, 10:35 AM, 513
Digital Design, 31/10/2017, 31/10/2017, False, 09:20 AM, 10:35 AM, 513
Digital Design, 20/11/2017, 20/11/2017, False, 09:20 AM, 10:35 AM, 513
Digital Design, 7/12/2017, 7/12/2017, False, 09:20 AM, 10:35 AM, 513
Digital Design, 10/1/2018, 10/1/2018, False, 09:20 AM, 10:35 AM, 513
Digital Design, 26/1/2018, 26/1/2018, False, 09:20 AM, 10:35 AM, 513
Digital Design, 13/2/2018, 13/2/2018, False, 09:20 AM, 10:35 AM, 513
Digital Design, 16/3/2018, 16/3/2018, False, 09:20 AM, 10:35 AM, 513
Digital Design, 11/4/2018, 11/4/2018, False, 09:20 AM, 10:35 AM, 513
Digital Design, 27/4/2018, 27/4/2018, False, 09:20 AM, 10:35 AM, 513
Digital Design, 1/6/2018, 1/6/2018, False, 09:20 AM, 10:35 AM, 513
Advisory, 23/8/2017, 23/8/2017, False, 11:05 AM, 11:30 AM,
Advisory, 8/9/2017, 8/9/2017, False, 11:05 AM, 11:30 AM,
Advisory, 31/10/2017, 31/10/2017, False, 11:05 AM, 11:30 AM,
Advisory, 20/11/2017, 20/11/2017, False, 11:05 AM, 11:30 AM,
Advisory, 7/12/2017, 7/12/2017, False, 11:05 AM, 11:30 AM,
Advisory, 10/1/2018, 10/1/2018, False, 11:05 AM, 11:30 AM,
Advisory, 26/1/2018, 26/1/2018, False, 11:05 AM, 11:30 AM,
Advisory, 13/2/2018, 13/2/2018, False, 11:05 AM, 11:30 AM,
Advisory, 16/3/2018, 16/3/2018, False, 11:05 AM, 11:30 AM,
Advisory, 11/4/2018, 11/4/2018, False, 11:05 AM, 11:30 AM,
Advisory, 27/4/2018, 27/4/2018, False, 11:05 AM, 11:30 AM,
Advisory, 1/6/2018, 1/6/2018, False, 11:05 AM, 11:30 AM,
Mathematics, 23/8/2017, 23/8/2017, False, 13:45 PM, 15:00 PM, 524
Mathematics, 8/9/2017, 8/9/2017, False, 13:45 PM, 15:00 PM, 524
Mathematics, 31/10/2017, 31/10/2017, False, 13:45 PM, 15:00 PM, 524
Mathematics, 20/11/2017, 20/11/2017, False, 13:45 PM, 15:00 PM, 524
Mathematics, 7/12/2017, 7/12/2017, False, 13:45 PM, 15:00 PM, 524
Mathematics, 10/1/2018, 10/1/2018, False, 13:45 PM, 15:00 PM, 524
